Sale_ID,Date,Brand,Model,Year,Price,Quantity,City,Salesperson,Payment_Method,Customer_Age,Revenue
47,2025-03-27,Ford,Focus,2022,21800.0,1,Amman,Yousef,Credit Card,48.0,21800.0
48,2025-07-23,Kia,Sportage,2020,29900.0,2,Irbid,Omar,Installment,41.0,59800.0
49,2025-01-10,Honda,Civic,2025,24900.0,1,Madaba,Yousef,Installment,54.0,24900.0
50,2025-04-06,Hyundai,Tucson,2021,31500.0,1,Amman,Dana,Cash,24.0,31500.0
51,2025-12-06,Honda,Accord,2020,33400.0,1,Aqaba,Omar,Bank Transfer,53.0,33400.0
52,2025-11-19,Toyota,Corolla,2022,26400.0,2,Amman,Ahmad,Installment,30.0,52800.0
53,2025-09-10,Mercedes,C-Class,2024,48800.0,1,Zarqa,Omar,Bank Transfer,43.0,48800.0
54,2025-04-25,Toyota,Camry,2024,34400.0,1,Amman,Khaled,Installment,31.0,34400.0
55,2025-12-23,Kia,Cerato,2024,24000.0,2,Amman,Dana,Installment,55.0,48000.0
56,2025-09-25,Toyota,RAV4,2023,35300.0,3,Amman,Khaled,Cash,43.0,105900.0
57,2025-03-03,Toyota,RAV4,2020,35400.0,1,Aqaba,Dana,Cash,42.0,35400.0
58,2025-08-21,Kia,Sportage,2022,30500.0,2,Zarqa,Lina,,27.0,61000.0
59,2025-03-10,Hyundai,Sonata,2023,29000.0,3,Zarqa,Lina,Cash,41.0,87000.0
60,2025-02-11,Hyundai,Elantra,2020,20000.0,3,Irbid,Khaled,Credit Card,51.0,60000.0
61,2025-11-27,BMW,3 Series,2022,53700.0,1,Irbid,Khaled,Installment,29.0,53700.0
62,2025-06-17,BMW,5 Series,2023,69100.0,3,Irbid,Ahmad,Credit Card,47.0,207300.0
63,2025-05-16,BMW,5 Series,2024,63200.0,1,Salt,Ahmad,Credit Card,37.0,63200.0
64,2025-03-11,Honda,CR-V,2020,35400.0,2,Aqaba,Khaled,Bank Transfer,59.0,70800.0
65,2025-06-22,Mercedes,E-Class,2021,65900.0,1,Salt,Omar,Installment,40.0,65900.0
66,2025-12-14,Hyundai,Elantra,2020,23800.0,1,Madaba,Ahmad,Bank Transfer,45.0,23800.0
67,2025-06-22,Toyota,Camry,2024,35300.0,2,Salt,Yousef,Bank Transfer,41.0,70600.0
68,2025-08-15,Ford,Focus,2022,25900.0,2,Zarqa,Lina,Cash,38.0,51800.0
69,2025-02-23,Honda,Civic,2020,26700.0,1,Madaba,Sara,Installment,43.0,26700.0
70,2025-06-05,Toyota,RAV4,2023,41000.0,2,Salt,Dana,Credit Card,48.0,82000.0
71,2025-08-08,Hyundai,Sonata,2021,26400.0,2,Salt,Ahmad,Installment,47.0,52800.0
72,2025-07-31,Ford,Explorer,2020,37300.0,3,Salt,Lina,Installment,49.0,111900.0
73,2025-09-13,Kia,K5,2022,29800.0,1,Salt,Khaled,Cash,22.0,29800.0
74,2025-04-29,BMW,5 Series,2021,63800.0,3,Amman,Noor,Cash,38.0,191400.0
75,2025-12-08,Honda,Civic,2022,26000.0,1,Zarqa,Sara,Cash,33.0,26000.0
76,2025-11-07,Toyota,Camry,2020,30800.0,1,Madaba,Lina,Cash,25.0,30800.0
77,2025-02-22,Honda,Civic,2025,28200.0,3,Salt,Omar,Credit Card,39.0,84600.0
78,2025-02-20,Toyota,Corolla,2025,22400.0,1,Salt,Yousef,Installment,21.0,22400.0
79,2025-09-07,Toyota,Camry,2023,29500.0,1,Irbid,Noor,Credit Card,23.0,29500.0
80,2025-08-10,Mercedes,E-Class,2023,74800.0,2,Zarqa,Ahmad,Cash,43.0,149600.0
81,2025-04-13,Honda,Civic,2024,26300.0,1,Madaba,Dana,Installment,54.0,26300.0
82,2025-11-04,Ford,Fusion,2021,27300.0,1,Amman,Noor,Cash,44.0,27300.0
83,2025-10-12,Honda,Accord,2021,33400.0,3,Aqaba,Omar,Installment,37.0,100200.0
84,2025-02-03,BMW,3 Series,2023,43100.0,3,Madaba,Yousef,Credit Card,33.0,129300.0
85,2025-04-21,Ford,Explorer,2022,36800.0,1,Amman,Khaled,Bank Transfer,36.0,36800.0
86,2025-12-26,Honda,CR-V,2025,36300.0,2,Aqaba,Dana,Cash,23.0,72600.0
87,2025-05-02,Mercedes,GLC,2024,69700.0,3,Zarqa,Sara,Cash,25.0,209100.0
88,2025-05-13,BMW,5 Series,2024,55100.0,1,Amman,Lina,Credit Card,54.0,55100.0
89,2025-10-09,Toyota,Camry,2021,33100.0,1,Amman,Khaled,Cash,42.0,33100.0
90,2025-12-03,Honda,Accord,2022,33900.0,3,Irbid,Lina,Cash,28.0,101700.0
91,2025-01-28,Toyota,RAV4,2024,41300.0,1,Jerash,Noor,Installment,22.0,41300.0
92,2025-01-07,Kia,K5,2025,24800.0,1,Zarqa,Khaled,Bank Transfer,38.0,24800.0
93,2025-04-29,BMW,5 Series,2022,61200.0,1,Salt,Lina,Credit Card,59.0,61200.0
94,2025-01-25,Toyota,Corolla,2025,23200.0,2,Amman,Yousef,Installment,45.0,46400.0
95,2025-04-21,Hyundai,Sonata,2022,29500.0,1,Aqaba,Khaled,Credit Card,54.0,29500.0
96,2025-04-11,Honda,Civic,2023,22900.0,1,Madaba,Lina,Credit Card,54.0,22900.0
97,2025-10-16,Mercedes,GLC,2024,59100.0,1,Salt,Noor,Cash,26.0,59100.0
98,2025-09-04,Ford,Explorer,2023,43300.0,1,,Sara,Bank Transfer,60.0,43300.0
99,2025-03-16,Kia,Sportage,2025,30600.0,2,Aqaba,Khaled,Credit Card,50.0,61200.0
100,2025-01-26,Ford,Explorer,2025,44100.0,1,Zarqa,Yousef,Installment,25.0,44100.0
101,2025-08-13,Ford,Fusion,2025,27900.0,2,Aqaba,Ahmad,Installment,21.0,55800.0
102,2025-12-22,BMW,5 Series,2025,64300.0,1,Salt,Sara,Bank Transfer,53.0,64300.0
103,2025-06-21,Ford,Fusion,2021,26700.0,1,Irbid,Yousef,,,26700.0
104,2025-02-07,Hyundai,Elantra,2024,19400.0,1,Jerash,Sara,Credit Card,51.0,19400.0
105,2025-11-30,Toyota,Corolla,2025,26000.0,1,Salt,Dana,Bank Transfer,29.0,26000.0
106,2025-11-16,BMW,X3,2022,65500.0,2,Salt,Dana,Bank Transfer,57.0,131000.0
107,2025-12-05,Ford,Fusion,2022,24000.0,3,Zarqa,Noor,Credit Card,24.0,72000.0
108,2025-05-05,Toyota,Corolla,2021,23700.0,1,Madaba,Ahmad,Bank Transfer,35.0,23700.0
109,2025-11-05,Toyota,Corolla,2020,26900.0,1,Zarqa,Khaled,Bank Transfer,26.0,26900.0
110,2025-01-15,Ford,Explorer,2022,37800.0,2,Jerash,Yousef,Cash,50.0,75600.0
111,2025-04-07,Honda,CR-V,2023,39100.0,1,Salt,Yousef,Bank Transfer,53.0,39100.0
112,2025-11-26,Ford,Fusion,2021,28200.0,1,Amman,Noor,Credit Card,33.0,28200.0
113,2025-07-03,Honda,CR-V,2023,34100.0,2,Jerash,Yousef,Installment,25.0,68200.0
114,2025-04-05,Kia,Sportage,2023,33300.0,1,Zarqa,Sara,Installment,56.0,33300.0
115,2025-09-11,BMW,X3,2022,56500.0,1,Irbid,Dana,Credit Card,26.0,56500.0
116,2025-08-06,Honda,CR-V,2021,38600.0,2,Salt,Dana,Credit Card,38.0,77200.0
117,2025-12-22,Toyota,Corolla,2023,25000.0,2,Aqaba,Yousef,Installment,,50000.0
118,2025-02-20,Honda,Accord,2020,31100.0,1,Salt,Noor,Installment,42.0,31100.0
119,2025-12-12,Mercedes,GLC,2020,55500.0,3,Madaba,Lina,Credit Card,43.0,166500.0
120,2025-11-05,Toyota,Corolla,2025,24500.0,3,Amman,Omar,Installment,46.0,73500.0
121,2025-10-21,Toyota,RAV4,2023,36900.0,1,Irbid,Khaled,Credit Card,47.0,36900.0
122,2025-12-30,BMW,X3,2020,60200.0,1,Zarqa,Sara,Credit Card,44.0,60200.0
123,2025-06-26,Toyota,RAV4,2023,35800.0,1,Salt,Khaled,Bank Transfer,42.0,35800.0
124,2025-03-25,BMW,5 Series,2024,63200.0,1,Amman,Ahmad,Installment,42.0,63200.0
125,2025-08-12,Hyundai,Tucson,2024,27900.0,1,Salt,Noor,Bank Transfer,39.0,27900.0
126,2025-10-13,Ford,Fusion,2024,27300.0,3,Zarqa,Omar,Cash,34.0,81900.0
127,2025-04-23,Mercedes,GLC,2021,62300.0,2,Irbid,Noor,Credit Card,24.0,124600.0
128,2025-06-11,Toyota,Corolla,2022,23500.0,1,Aqaba,Ahmad,Bank Transfer,48.0,23500.0
129,2025-09-04,BMW,X3,2024,57400.0,1,Zarqa,Dana,Bank Transfer,28.0,57400.0
130,2025-04-02,Ford,Focus,2024,21300.0,1,Jerash,Dana,Credit Card,55.0,21300.0
131,2025-06-14,Ford,Fusion,2022,29600.0,2,Madaba,Yousef,Credit Card,51.0,59200.0
132,2025-05-27,Honda,Accord,2021,27100.0,3,Salt,Sara,Installment,49.0,81300.0
133,2025-01-11,Hyundai,Sonata,2021,31500.0,3,Irbid,Khaled,Credit Card,23.0,94500.0
134,2025-09-13,Honda,CR-V,2023,37500.0,3,Madaba,Ahmad,Credit Card,55.0,112500.0
135,2025-07-21,Hyundai,Sonata,2025,30500.0,1,Madaba,Dana,Bank Transfer,43.0,30500.0
136,2025-02-09,Toyota,Camry,2022,31600.0,1,Irbid,Yousef,Cash,59.0,31600.0
137,2025-06-03,Toyota,Camry,2025,34300.0,2,Irbid,Yousef,Cash,54.0,68600.0
138,2025-02-11,Honda,Civic,2022,27600.0,3,Aqaba,Ahmad,Credit Card,54.0,82800.0
139,2025-03-28,Toyota,Corolla,2020,24300.0,2,Salt,Omar,Credit Card,41.0,48600.0
140,2025-09-25,Mercedes,C-Class,2025,56000.0,1,Salt,Ahmad,Cash,27.0,56000.0
141,2025-07-09,BMW,3 Series,2020,47700.0,2,Irbid,Noor,Installment,22.0,95400.0
142,2025-10-19,Hyundai,Sonata,2022,26000.0,3,Zarqa,Omar,Cash,41.0,78000.0
143,2025-11-06,Mercedes,GLC,2023,65500.0,1,Irbid,Khaled,Bank Transfer,44.0,65500.0
144,2025-02-05,Ford,Fusion,2024,26300.0,1,Jerash,Lina,Bank Transfer,55.0,26300.0
145,2025-07-20,Hyundai,Tucson,2020,30400.0,3,Irbid,Omar,Cash,29.0,91200.0
146,2025-04-14,Toyota,Corolla,2020,24300.0,1,Irbid,Ahmad,Bank Transfer,55.0,24300.0
147,2025-04-12,Mercedes,E-Class,2024,59900.0,1,Irbid,Lina,Bank Transfer,57.0,59900.0
148,2025-11-26,Hyundai,Tucson,2022,34200.0,1,Amman,Khaled,Cash,32.0,34200.0
149,2025-07-17,Ford,Explorer,2024,42300.0,3,Amman,Omar,Cash,32.0,126900.0
150,2025-02-16,Honda,CR-V,2021,30400.0,1,Irbid,Dana,Bank Transfer,37.0,30400.0
151,2025-01-07,Honda,Accord,2024,30200.0,3,Amman,Sara,Installment,28.0,90600.0
152,2025-04-13,BMW,X3,2024,58500.0,2,Amman,Noor,Bank Transfer,44.0,117000.0
153,2025-07-02,Mercedes,C-Class,2021,58200.0,1,Jerash,Lina,Bank Transfer,35.0,58200.0
154,2025-06-10,Toyota,Corolla,2025,23200.0,1,Salt,Omar,Installment,22.0,23200.0
155,2025-09-04,Honda,CR-V,2021,39000.0,1,Salt,Yousef,Credit Card,52.0,39000.0
156,2025-11-14,Mercedes,GLC,2025,59500.0,1,Salt,Lina,Cash,36.0,59500.0
157,2025-12-25,Hyundai,Tucson,2020,32600.0,1,Aqaba,Yousef,Cash,50.0,32600.0
158,2025-11-20,Toyota,RAV4,2024,35100.0,1,Irbid,Noor,Cash,45.0,35100.0
159,2025-12-10,Toyota,Corolla,2025,21400.0,1,Aqaba,Lina,Bank Transfer,57.0,21400.0
160,2025-03-03,Kia,Cerato,2022,21800.0,1,Salt,Omar,Cash,27.0,21800.0
161,2025-08-31,Hyundai,Tucson,2023,33200.0,3,Salt,Noor,Credit Card,54.0,99600.0
162,2025-09-19,Toyota,Camry,2020,28800.0,1,Salt,Yousef,Credit Card,43.0,28800.0
163,2025-03-02,Toyota,Corolla,2022,25000.0,1,Zarqa,Omar,Bank Transfer,38.0,25000.0
164,2025-04-30,Ford,Focus,2022,25300.0,3,Salt,Khaled,Cash,29.0,75900.0
165,2025-11-19,Hyundai,Sonata,2024,25300.0,1,Zarqa,Lina,Cash,29.0,25300.0
166,2025-02-09,Mercedes,C-Class,2021,57900.0,1,Amman,Yousef,Bank Transfer,54.0,57900.0
167,2025-06-25,Hyundai,Tucson,2025,28500.0,3,Irbid,Omar,Credit Card,57.0,85500.0
168,2025-04-24,Hyundai,Elantra,2023,19800.0,1,Salt,Dana,Credit Card,49.0,19800.0
169,2025-02-09,Mercedes,E-Class,2022,66200.0,1,Zarqa,Yousef,Cash,53.0,66200.0
170,2025-10-31,Ford,Explorer,2023,43300.0,1,Amman,Yousef,Bank Transfer,45.0,43300.0
171,2025-01-07,Kia,K5,2023,28300.0,2,,Sara,Cash,51.0,56600.0
172,2025-06-07,Honda,Accord,2021,33000.0,3,Jerash,Khaled,Credit Card,56.0,99000.0
173,2025-08-12,BMW,5 Series,2024,63100.0,1,Salt,Noor,Bank Transfer,37.0,63100.0
174,2025-06-12,Honda,Accord,2023,26500.0,3,Madaba,Sara,Credit Card,27.0,79500.0
175,2025-12-01,BMW,3 Series,2021,46700.0,2,Madaba,Yousef,Cash,42.0,93400.0
176,2025-01-12,Hyundai,Sonata,2023,26900.0,1,Madaba,Ahmad,Credit Card,21.0,26900.0
177,2025-07-23,Ford,Fusion,2022,28900.0,3,Aqaba,Sara,Bank Transfer,,86700.0
178,2025-02-27,Honda,Civic,2022,27500.0,1,Jerash,Omar,Credit Card,54.0,27500.0
179,2025-06-06,Kia,Cerato,2022,21000.0,3,Zarqa,Lina,Installment,22.0,63000.0
180,2025-07-14,Honda,Accord,2023,31700.0,1,Amman,Noor,Installment,48.0,31700.0
181,2025-09-14,Kia,Cerato,2024,22100.0,1,Irbid,Lina,Credit Card,35.0,22100.0
182,2025-10-07,BMW,3 Series,2022,42600.0,1,Aqaba,Omar,Bank Transfer,36.0,42600.0
183,2025-01-08,Mercedes,E-Class,2020,75800.0,3,Jerash,Sara,Credit Card,27.0,227400.0
184,2025-02-15,Mercedes,C-Class,2023,46200.0,2,Jerash,Ahmad,Credit Card,34.0,92400.0
185,2025-01-09,Honda,Civic,2025,26600.0,2,Madaba,Dana,Cash,42.0,53200.0
186,2025-03-05,Ford,Focus,2024,23900.0,1,Salt,Ahmad,Installment,41.0,23900.0
187,2025-10-28,BMW,5 Series,2021,62600.0,1,Amman,Ahmad,Installment,58.0,62600.0
188,2025-03-17,Toyota,RAV4,2025,39000.0,1,Amman,Noor,Installment,35.0,39000.0
189,2025-08-30,Ford,Fusion,2023,27800.0,1,Aqaba,Ahmad,Credit Card,53.0,27800.0
190,2025-04-26,Toyota,Corolla,2024,21700.0,3,Irbid,Noor,Bank Transfer,22.0,65100.0
191,2025-05-23,Ford,Explorer,2021,41600.0,1,Irbid,Omar,Bank Transfer,60.0,41600.0
192,2025-09-19,Mercedes,C-Class,2022,58300.0,1,Amman,Khaled,Bank Transfer,52.0,58300.0
193,2025-12-14,Toyota,Camry,2023,34600.0,1,Madaba,Lina,Credit Card,27.0,34600.0
194,2025-05-07,Mercedes,E-Class,2021,74200.0,1,Amman,Lina,Credit Card,34.0,74200.0
195,2025-01-25,Mercedes,E-Class,2025,70700.0,2,Salt,Sara,Credit Card,39.0,141400.0
196,2025-04-29,Honda,Accord,2023,32400.0,3,Salt,Khaled,Installment,38.0,97200.0
197,2025-02-28,Ford,Fusion,2022,24500.0,1,Zarqa,Lina,Credit Card,55.0,24500.0
198,2025-11-28,Kia,Cerato,2025,18700.0,1,Amman,Noor,Cash,51.0,18700.0
199,2025-12-30,BMW,3 Series,2023,50400.0,2,Madaba,Lina,Installment,44.0,100800.0
200,2025-09-07,BMW,3 Series,2022,49700.0,2,Salt,Omar,Installment,56.0,99400.0
201,2025-08-31,BMW,X3,2021,63500.0,1,Zarqa,Omar,Credit Card,32.0,63500.0
202,2025-12-21,Mercedes,C-Class,2021,54600.0,1,Irbid,Dana,Installment,50.0,54600.0
203,2025-10-20,Honda,Accord,2023,29400.0,1,Salt,Noor,Cash,34.0,29400.0
204,2025-12-11,Honda,Civic,2023,26000.0,1,Amman,Lina,Credit Card,55.0,26000.0
205,2025-10-28,Kia,Cerato,2020,22900.0,2,Jerash,Khaled,Bank Transfer,31.0,45800.0
206,2025-04-03,BMW,X3,2025,53700.0,1,Irbid,Lina,Credit Card,21.0,53700.0
207,2025-10-11,Kia,Sportage,2023,33200.0,2,Amman,Sara,Cash,57.0,66400.0
208,2025-11-08,Hyundai,Elantra,2020,24400.0,2,Aqaba,Khaled,Bank Transfer,26.0,48800.0
209,2025-10-20,Hyundai,Tucson,2024,26700.0,1,Aqaba,Omar,Cash,21.0,26700.0
210,2025-11-21,Honda,CR-V,2025,31600.0,1,Amman,Ahmad,Bank Transfer,34.0,31600.0
211,2025-10-26,Hyundai,Sonata,2023,32100.0,1,Madaba,Omar,Cash,49.0,32100.0
212,2025-10-21,Toyota,RAV4,2022,36400.0,2,Aqaba,Khaled,Installment,36.0,72800.0
213,2025-12-07,BMW,5 Series,2023,65800.0,1,Amman,Khaled,Installment,49.0,65800.0
214,2025-11-07,Ford,Focus,2025,21800.0,1,Jerash,Omar,Bank Transfer,30.0,21800.0
215,2025-03-17,Ford,Fusion,2021,27200.0,1,Zarqa,Dana,Cash,24.0,27200.0
216,2025-10-31,Toyota,Corolla,2022,27200.0,3,Salt,Ahmad,Credit Card,48.0,81600.0
217,2025-06-18,BMW,5 Series,2025,59900.0,1,Amman,Dana,Cash,29.0,59900.0
218,2025-04-12,Kia,Cerato,2020,19100.0,1,Madaba,Lina,Credit Card,39.0,19100.0
219,2025-12-31,Ford,Fusion,2021,29000.0,1,Zarqa,Ahmad,Installment,27.0,29000.0
220,2025-11-12,Toyota,Corolla,2020,23500.0,3,Salt,Ahmad,Cash,52.0,70500.0
221,2025-12-21,Toyota,RAV4,2023,31800.0,1,Madaba,Noor,Credit Card,22.0,31800.0
222,2025-04-27,Ford,Focus,2022,23600.0,1,Salt,Omar,Cash,32.0,23600.0
223,2025-09-28,Kia,K5,2024,25600.0,2,Zarqa,Dana,Bank Transfer,26.0,51200.0
224,2025-01-21,Ford,Fusion,2023,29600.0,3,Jerash,Sara,Bank Transfer,36.0,88800.0
225,2025-07-22,Honda,Civic,2023,28400.0,2,Zarqa,Khaled,Installment,41.0,56800.0
226,2025-02-21,Kia,K5,2022,24500.0,3,Madaba,Sara,Cash,48.0,73500.0
227,2025-03-18,Mercedes,E-Class,2023,73000.0,1,Aqaba,Omar,Cash,50.0,73000.0
228,2025-06-08,Mercedes,GLC,2023,56700.0,3,Jerash,Khaled,Installment,56.0,170100.0
229,2025-12-28,Hyundai,Sonata,2025,28800.0,3,Jerash,Sara,Cash,42.0,86400.0
230,2025-01-09,Ford,Focus,2025,23900.0,1,Jerash,Omar,Installment,28.0,23900.0
231,2025-06-01,Toyota,Camry,2022,33800.0,1,Zarqa,Lina,Installment,59.0,33800.0
232,2025-08-30,BMW,3 Series,2021,52200.0,1,Salt,Khaled,Cash,55.0,52200.0
233,2025-05-30,Hyundai,Sonata,2020,26300.0,1,Salt,Khaled,Bank Transfer,48.0,26300.0
234,2025-09-11,Honda,CR-V,2021,32300.0,3,Amman,Omar,Installment,55.0,96900.0
235,2025-06-16,Honda,Civic,2021,24700.0,3,Amman,Ahmad,Bank Transfer,59.0,74100.0
236,2025-10-15,Hyundai,Sonata,2022,29200.0,1,Jerash,Yousef,Credit Card,56.0,29200.0
237,2025-03-11,Kia,Cerato,2023,19600.0,1,Amman,Khaled,Installment,33.0,19600.0
238,2025-06-09,Toyota,Camry,2023,34000.0,1,Salt,Dana,Credit Card,28.0,34000.0
239,2025-09-16,BMW,X3,2025,54700.0,1,Madaba,Noor,Credit Card,43.0,54700.0
240,2025-10-13,Hyundai,Sonata,2025,28900.0,1,Aqaba,Dana,Credit Card,56.0,28900.0
241,2025-11-07,Kia,Cerato,2024,22400.0,1,Irbid,Noor,Credit Card,36.0,22400.0
242,2025-05-24,Hyundai,Elantra,2023,25200.0,1,Madaba,Yousef,Bank Transfer,48.0,25200.0
243,2025-11-17,Mercedes,E-Class,2024,73400.0,2,Amman,Noor,Cash,40.0,146800.0
244,2025-09-29,Ford,Fusion,2021,28400.0,1,Aqaba,Noor,Installment,54.0,28400.0
245,2025-08-25,Kia,K5,2023,26000.0,1,Irbid,Ahmad,Cash,22.0,26000.0
246,2025-06-29,Mercedes,C-Class,2020,52900.0,1,Madaba,Khaled,Credit Card,24.0,52900.0
247,2025-05-23,BMW,X3,2025,65400.0,1,Madaba,Lina,Cash,32.0,65400.0
248,2025-10-18,Honda,Civic,2021,25600.0,3,Madaba,Dana,Credit Card,50.0,76800.0
249,2025-01-14,Ford,Fusion,2022,28400.0,2,Amman,Khaled,Cash,55.0,56800.0
250,2025-09-13,BMW,X3,2021,54500.0,2,Irbid,Ahmad,Credit Card,45.0,109000.0
251,2025-04-20,Kia,K5,2020,30500.0,1,Madaba,Noor,Cash,23.0,30500.0
252,2025-01-25,Mercedes,C-Class,2025,47800.0,3,Jerash,Lina,Cash,32.0,143400.0
253,2025-11-12,Hyundai,Elantra,2025,24600.0,3,Jerash,Noor,Installment,49.0,73800.0
254,2025-10-14,Mercedes,E-Class,2021,71800.0,1,Zarqa,Yousef,Bank Transfer,54.0,71800.0
255,2025-09-10,BMW,3 Series,2021,48500.0,1,Jerash,Dana,Bank Transfer,29.0,48500.0
256,2025-06-05,Honda,CR-V,2020,31200.0,1,Madaba,Noor,Bank Transfer,27.0,31200.0
257,2025-04-11,Hyundai,Elantra,2023,23100.0,1,Jerash,Lina,Installment,49.0,23100.0
258,2025-07-10,Hyundai,Sonata,2021,25600.0,2,Madaba,Dana,Cash,55.0,51200.0
259,2025-03-27,Honda,CR-V,2023,34300.0,3,Salt,Noor,Bank Transfer,22.0,102900.0
260,2025-05-18,Ford,Explorer,2024,34500.0,3,Jerash,Omar,Installment,59.0,103500.0
261,2025-08-01,Kia,Cerato,2024,18500.0,1,Salt,Omar,Cash,52.0,18500.0
262,2025-07-10,Hyundai,Elantra,2022,20900.0,1,Salt,Lina,Installment,46.0,20900.0
263,2025-08-20,Ford,Fusion,2023,24600.0,1,Zarqa,Ahmad,Cash,49.0,24600.0
264,2025-04-15,Ford,Fusion,2024,29600.0,1,Amman,Dana,Cash,21.0,29600.0
265,2025-08-20,BMW,3 Series,2020,53100.0,1,Salt,Lina,Bank Transfer,54.0,53100.0
266,2025-12-09,Mercedes,E-Class,2020,71100.0,2,Salt,Sara,Cash,52.0,142200.0
